"","NAME","STRATUM","OTHERSTAFF","TOTALSTAFF","ASSAULTCORR","ASSAULTOTRSTAFFF","DEATHSTAFFYN","ADPF","ADP","DESIGNWT","FINALWT","year"
"1","LOS ANGELES COUNTY - CUSTODY SUPPORT SERVS",1.1,1947,4425,141,8,-9,1,18679,1,1,"2013"
"2","MILWAUKEE COUNTY CORRECTIONAL FAC SOUTH",1,0,0,0,0,-9,0,1596,1,1.0695652,"2013"
"3","NEW YORK CITY",1,3210,10400,75,0,-9,1,11827,1,1.0695652,"2013"
"4","COOK COUNTY JAILS - DEPT OF CORRS",1,300,3789,69,9,-9,0,10354,1,1.0695652,"2013"
"5","HARRIS COUNTY",1,290,1836,4,8,-9,0,9302,1,1.0695652,"2013"
"6","MARICOPA COUNTY",1,106,2167,16,0,-9,0,8098,1,1.0695652,"2013"
"7","PHILADELPHIA PRISON SYSTEM",1,310,2328,86,0,-9,0,8987,1,1.0695652,"2013"
"8","SAN BERNARDINO COUNTY",1.1,715,1271,52,0,-9,0,6626,1,1,"2013"
"9","MIAMI-DADE COUNTY CORR AND REHAB FACILITIES",1,0,0,0,0,-9,1,4951,1,1.0695652,"2013"
"10","HILLSBOROUGH COUNTY",1,0,0,37,0,-9,0,2948,1,1.0695652,"2013"
"11","BROWARD COUNTY",1,692,1816,0,0,-9,0,4632,1,1.0695652,"2013"
"12","ORANGE COUNTY",1.1,0,0,29,0,-9,0,6804,1,1,"2013"
"13","TARRANT COUNTY",1,284,955,0,0,-9,0,3223,1,1.0695652,"2013"
"14","ORANGE COUNTY",1,343,1595,0,0,-9,0,3097,1,1.0695652,"2013"
"15","SAN DIEGO COUNTY",1.1,717,1746,98,0,-9,0,5274,1,1,"2013"
"16","BALTIMORE CITY",1,172,1384,11,0,-9,0,3506,1,1.0695652,"2013"
"17","SACRAMENTO COUNTY",1.1,78,226,3,0,-9,0,4741,1,1,"2013"
"18","ALAMEDA COUNTY",1.1,0,0,0,0,-9,0,3453,1,1,"2013"
"19","CLARK COUNTY DETENTION CENTER",1,270,1020,40,0,-9,0,3412,1,1.0695652,"2013"
"20","SANTA CLARA COUNTY",1.1,257,935,4,1,-9,0,3816,1,1,"2013"
"21","SHELBY COUNTY DIVISION OF CORRECTIONS",1,0,0,0,0,-9,0,3102,1,1.0695652,"2013"
"22","DEKALB COUNTY JAIL",1,200,753,52,0,-9,0,2722,1,1.0695652,"2013"
"23","RIVERSIDE COUNTY",1.1,205,1425,0,9,-9,0,3895,1,1,"2013"
"24","TRAVIS COUNTY",1,0,0,0,0,-9,1,2322,1,1.0695652,"2013"
"25","FRESNO COUNTY",1.1,0,413,175,0,-9,0,2835,1,1,"2013"
"26","COBB CO SHERIFF'S OFFICE JAIL & PRISON UNIT",1,166,443,50,0,-9,0,2138,1,1.0695652,"2013"
"27","GWINNETT COUNTY DETENTION CENTER",1,104,439,0,0,-9,1,2362,1,1.0695652,"2013"
"28","D.C. DEPT OF CORRECTIONS",1,253,894,11,0,-9,0,2354,1,1.0695652,"2013"
"29","SHELBY COUNTY JAIL AND JAIL EAST (WOMEN)",1,124,998,0,0,-9,0,2556,1,1.0695652,"2013"
"30","PALM BEACH COUNTY",1,300,987,27,0,-9,0,2331,1,1.0695652,"2013"
"31","ALLEGHENY COUNTY JAIL",1,0,0,0,9,-9,0,2730,1,1.0695652,"2013"
"32","KING COUNTY",1,152,688,22,0,-9,1,1927,1,1.0695652,"2013"
"33","JACKSONVILLE CITY",1,173,910,0,0,-9,0,3467,1,1.0695652,"2013"
"34","PINELLAS COUNTY CORRECTIONAL FACILITY",1,279,1064,0,0,-9,0,2921,1,1.0695652,"2013"
"35","NEW ORLEANS PARISH PRISON SYSTEM",1,341,730,0,0,-9,0,2557,1,1.0695652,"2013"
"36","OKLAHOMA COUNTY JAIL",1,108,449,0,0,-9,0,2521,1,1.0695652,"2013"
"37","KERN COUNTY",1.1,88,559,19,0,-9,0,2590,1,1,"2013"
"38","MECKLENBURG COUNTY",1,183,1205,194,0,-9,0,2042,1,1.0695652,"2013"
"39","SALT LAKE COUNTY JAIL",1,332,719,8,8,-9,1,2059,1,1.0695652,"2013"
"40","DAVIDSON COUNTY SHERIFFS OFFICE",1,0,0,179,1,-9,0,2004,1,1.0695652,"2013"
"41","POLK COUNTY",1,164,491,1,0,-9,0,2453,1,1.0695652,"2013"
"42","YORK COUNTY PRISON",1,67,511,25,0,-9,1,2402,1,1.0695652,"2013"
"43","EL PASO COUNTY DETENTION FACILITY",1,119,749,8,0,-9,0,2308,1,1.0695652,"2013"
"44","ESSEX COUNTY JAIL",1,0,767,0,0,-9,0,3004,1,1.0695652,"2013"
"45","PIMA COUNTY ADULT DETENTION CENTER",1,168,565,58,0,-9,0,2000,1,1.0695652,"2013"
"46","SAN FRANCISCO CITY & COUNTY",1.1,501,1025,92,0,-9,0,1402,1,1,"2013"
"47","DENVER COUNTY",1,107,898,0,9,-9,0,2209,1,1.0695652,"2013"
"48","FRANKLIN COUNTY",1,0,0,0,0,-9,5,1829,1,1.0695652,"2013"
"49","BERNALILLO COUNTY METRO DETENTION CENTER",1,0,0,0,0,-9,5,2536,1,1.0695652,"2013"
"50","MONTGOMERY CO PRISON CORRECTIONAL FACILITY",1,69,343,9,0,-9,0,1898,1,1.0695652,"2013"
"51","LEE COUNTY",1,114,495,0,0,-9,0,1637,1,1.0695652,"2013"
"52","SUFFOLK COUNTY HOUSE OF CORRECTION",1,0,0,16,0,-9,0,1394,1,1.0695652,"2013"
"53","CONTRA COSTA COUNTY",1.1,0,199,71,1,-9,0,1440,1,1,"2013"
"54","EL PASO COUNTY",1,109,407,1,0,-9,0,1430,1,1.0695652,"2013"
"55","CLAYTON COUNTY JAIL",1,96,237,12,0,-9,0,1589,1,1.0695652,"2013"
"56","MARION COUNTY JAIL",1,84,289,0,0,-9,0,1529,1,1.0695652,"2013"
"57","CHARLESTON COUNTY DETENTION CENTER",1,40,459,32,0,-9,0,1342,1,1.0695652,"2013"
"58","GEORGE W. HILL CORR FAC.- THE GEO GROUP, INC",1,135,523,4,0,-9,0,1914,1,1.0695652,"2013"
"59","WESTCHESTER COUNTY",1,146,902,0,9,-9,0,1410,1,1.0695652,"2013"
"60","EAST BATON ROUGE PARISH PRISON",1,78,333,20,1,-9,1,1757,1,1.0695652,"2013"
"61","LOUISVILLE METRO DEPT OF CORRECTIONS",1,136,581,0,9,-9,0,1966,1,1.0695652,"2013"
"62","FORT BEND COUNTY JAIL",1,23,367,2,0,-9,0,875,1,1.0695652,"2013"
"63","CUYAHOGA COUNTY CORRECTIONAL CENTER",1,0,0,0,0,-9,1,2057,1,1.0695652,"2013"
"64","PIERCE COUNTY JAIL",1,101,371,6,0,-9,0,1290,1,1.0695652,"2013"
"65","DAVID L MOSS CRIMINAL JUSTICE CENTER- C.C.A.",1,55,355,0,0,-9,0,1790,1,1.0695652,"2013"
"66","BREVARD COUNTY JAIL COMPLEX",1,147,475,51,0,-9,0,1465,1,1.0695652,"2013"
"67","LEHIGH COUNTY",1,47,276,1,0,-9,1,1328,1,1.0695652,"2013"
"68","TULARE COUNTY",1.1,110,341,0,0,-9,0,1645,1,1,"2013"
"69","MOBILE COUNTY JAIL",1,54,246,0,0,-9,0,1738,1,1.0695652,"2013"
"70","BRISTOL COUNTY",1,244,597,31,0,-9,0,1404,1,1.0695652,"2013"
"71","CAMERON COUNTY",1,50,350,10,0,-9,0,1388,1,1.0695652,"2013"
"72","MONROE COUNTY",1,25,525,0,0,-9,0,1345,1,1.0695652,"2013"
"73","VENTURA COUNTY",1.1,110,410,0,0,-9,0,1584,1,1,"2013"
"74","WAKE COUNTY",1,26,480,38,0,-9,0,1308,1,1.0695652,"2013"
"75","MIDDLESEX COUNTY ADULT CORRECTIONAL CENTER",1,0,0,2,0,-9,0,959,1,1.0695652,"2013"
"76","BOSSIER PARISH",1,33,133,0,0,-9,0,1245,1,1.0695652,"2013"
"77","PRINCE GEORGES COUNTY CORRECTIONAL CENTER",1,109,570,50,0,-9,0,1329,1,1.0695652,"2013"
"78","BALTIMORE COUNTY DEPT OF CORRECTIONS",1,110,430,14,0,-9,0,1286,1,1.0695652,"2013"
"79","PINAL COUNTY JAIL",1,23,346,2,1,-9,1,1102,1,1.0695652,"2013"
"80","CADDO PARISH CORRECTIONAL CENTER",1,148,421,0,0,-9,0,1097,1,1.0695652,"2013"
"81","OAKLAND COUNTY",1,67,386,0,0,-9,0,1595,1,1.0695652,"2013"
"82","VOLUSIA COUNTY",1,77,353,5,0,-9,0,1488,1,1.0695652,"2013"
"83","ARAPAHOE COUNTY JAIL",1,63,197,0,0,-9,1,1130,1,1.0695652,"2013"
"84","SONOMA COUNTY",1.1,89,282,8,0,-9,0,1061,1,1,"2013"
"85","HAMILTON COUNTY",1,0,0,0,0,-9,1,1513,1,1.0695652,"2013"
"86","KENT COUNTY",1,65,245,11,0,-9,0,1206,1,1.0695652,"2013"
"87","MULTNOMAH COUNTY DETENTION FACILITY",1,331,760,22,0,-9,0,1261,1,1.0695652,"2013"
"88","ADAMS COUNTY DETENTION FACILITY",1,83,277,22,0,-9,0,1061,1,1.0695652,"2013"
"89","DOUGLAS COUNTY DEPT OF CORRECTIONS",1,62,374,0,0,-9,0,1210,1,1.0695652,"2013"
"90","VAL VERDE CO JAIL & CORR FAC - GEO",7,0,0,0,0,-9,0,1237,1.4136,1.5742364,"2013"
"91","PASCO COUNTY",1,109,459,0,0,-9,0,1462,1,1.0695652,"2013"
"92","ESCAMBIA COUNTY",1,0,0,0,0,-9,1,1396,1,1.0695652,"2013"
"93","SAN JOAQUIN COUNTY SHERIFF'S DEPT. JAIL",1.1,73,292,10,0,-9,0,1399,1,1,"2013"
"94","HAMPDEN COUNTY",1,444,871,5,0,-9,0,1413,1,1.0695652,"2013"
"95","DENTON COUNTY DETENTION CENTER",1,29,379,0,0,-9,0,1200,1,1.0695652,"2013"
"96","SEMINOLE CO JOHN POLK CORRECTIONAL FACILITY",1,133,344,15,0,1,0,809,1,1.0695652,"2013"
"97","MONTGOMERY COUNTY",1,0,0,0,0,-9,1,826,1,1.0695652,"2013"
"98","RIVERSIDE REGIONAL JAIL",12,119,337,61,0,-9,0,1421,1,1.0769231,"2013"
"99","ST LUCIE COUNTY JAIL",1,31,257,14,0,-9,0,1195,1,1.0695652,"2013"
"100","MARION COUNTY JAIL, LIBERTY HALL & ANNEX",1,384,1046,0,0,-9,1,1027,1,1.0695652,"2013"
"101","SNOHOMISH COUNTY",1,117,337,16,0,-9,0,1176,1,1.0695652,"2013"
"102","WASHOE COUNTY DETENTION FACILITY",1,49,383,0,0,-9,0,1087,1,1.0695652,"2013"
"103","CALCASIEU PARISH",1,107,291,0,0,-9,0,1231,1,1.0695652,"2013"
"104","HALL COUNTY DETENTION CENTER",1,60,184,0,0,-9,1,941,1,1.0695652,"2013"
"105","EAST CARROLL PARISH RIVER BEND DET CENTER",1,0,0,0,0,-9,0,718,1,1.0695652,"2013"
"106","METRO DAVIDSON COUNTY DETENTION  FAC- C.C.A.",1,101,263,0,8,-9,1,1192,1,1.0695652,"2013"
"107","KNOX COUNTY",1,113,406,22,0,-9,1,910,1,1.0695652,"2013"
"108","MONMOUTH COUNTY CORRECTIONAL INSTITUTION",1,49,332,11,0,-9,1,912,1,1.0695652,"2013"
"109","JEFFERSON COUNTY DETENTION FACILITY",1,96,362,4,8,-9,0,1232,1,1.0695652,"2013"
"110","STANISLAUS COUNTY",1.1,59,284,0,0,-9,0,1133,1,1,"2013"
"111","SUFFOLK COUNTY",1,0,0,0,0,-9,0,1594,1,1.0695652,"2013"
"112","WINNEBAGO COUNTY SHERIFF'S DEPT. JAIL",1,21,200,0,0,-9,0,980,1,1.0695652,"2013"
"113","ATLANTA CITY",1,52,281,3,1,-9,0,479,1,1.0695652,"2013"
"114","GREENVILLE COUNTY DETENTION CENTER",1,75,346,0,0,-9,0,1301,1,1.0695652,"2013"
"115","COLLIN COUNTY JAIL",1,37,353,12,0,-9,0,927,1,1.0695652,"2013"
"116","COLLIER COUNTY",1,0,0,0,0,-9,1,927,1,1.0695652,"2013"
"117","RAPPAHANNOCK REGIONAL JAIL AND ANNEX",12,91,327,0,0,-9,0,1610,1,1.0769231,"2013"
"118","MONTGOMERY COUNTY DETENTION FACILITY",1,29,197,0,0,-9,0,626,1,1.0695652,"2013"
"119","ST. LOUIS COUNTY JAIL",1,89,334,2,0,-9,0,1325,1,1.0695652,"2013"
"120","LEXINGTON-FAYETTE CO JAIL DETENTION DIV",1,65,310,9,0,-9,0,1194,1,1.0695652,"2013"
"121","LEON COUNTY JAIL",1,4,40,0,0,-9,1,1114,1,1.0695652,"2013"
"122","CAMDEN COUNTY CORRECTIONAL FACILITY",1,21,344,6,0,-9,0,1473,1,1.0695652,"2013"
"123","AVOYELLES PARISH",1,18,280,0,0,-9,0,965,1,1.0695652,"2013"
"124","FAIRFAX COUNTY ADULT DETENTION CENTER",1,258,627,0,0,-9,0,1270,1,1.0695652,"2013"
"125","DAUPHIN COUNTY PRISON",1,0,288,0,0,-9,0,1210,1,1.0695652,"2013"
