"","NAME","STRATUM","TOTALSTAFF","CORRSTAFF","CORRSTAFFF","OTHERSTAFF","OTHERSTAFFF","OTHERSTAFFM","TOTPOP","ADPF","ADP","DESIGNWT","FINALWT","year"
"1","Baldwin County Sheriff's Office",1,119,91,31,28,25,3,456,103,585,1,1,"2015"
"2","Bibb County Sheriffs Department",9,15,15,6,0,0,0,85,10,75,9,9.29508197,"2015"
"3","Cleburne County Sheriffs Office",9,16,15,5,1,0,1,59,13,70,9,9.29508197,"2015"
"4","Cullman County Sheriffs Office",7,42,27,8,15,7,8,325,52,303,1.27884614,1.31702066,"2015"
"5","Etowah County Sheriffs Office",1,84,61,11,23,8,15,634,89,699,1,1,"2015"
"6","Fayette County Sheriffs Office",9,12,11,6,1,0,1,52,12,60,9,9.29508197,"2015"
"7","Houston County Sheriffs Office",7,74,63,21,11,7,4,262,29,281,1.27884614,1.31702066,"2015"
"8","Jefferson County Sheriff's Office",1,165,148,40,17,14,3,935,110,1091,1,1.01503759,"2015"
"9","Lawrence County Sheriffs Office",8,18,13,2,5,5,0,97,14,94,4.90361452,5.02620488,"2015"
"10","Lee County Sheriffs Office",7,68,55,16,13,7,6,380,57,397,1.27884614,1.31702066,"2015"
"11","Lowndes County Sheriffs Office",9,18,16,8,2,1,1,67,2,79,9,9.29508197,"2015"
"12","Madison County Sheriffs Office",1,95,54,20,41,18,23,835,140,825,1,1,"2015"
"13","Montgomery County Sheriffs Office",7,192,164,92,28,22,6,516,85,564,1.27884614,1.31702066,"2015"
"14","Morgan County Sheriffs Office",7,110,102,37,8,0,8,450,50,430,1.27884614,1.31702066,"2015"
"15","Russell County Sheriff's Department",2,57,50,22,7,3,4,227,35,230,2.71428561,2.71428561,"2015"
"16","Shelby County Sheriff's Office",2,77,67,9,10,6,4,420,78,435,2.71428561,2.71428561,"2015"
"17","Talladega County Sheriff's Office/Jail",7,56,46,10,10,8,2,247,51,280,1.27884614,1.31702066,"2015"
"18","Tuscaloosa County Sheriffs Office",1,79,72,17,7,7,0,548,61,550,1,1,"2015"
"19","Washington County Sheriffs Office",7,18,6,3,12,9,3,64,10,50,1.27884614,1.31702066,"2015"
"20","City of Foley Police Department",9,12,11,6,1,1,0,40,12,45,9,9.29508197,"2015"
"21","Piedmont Police Department",10,15,0,0,15,6,9,3,1,5,14.89999962,14.89999962,"2015"
"22","City of Adamsville Jail",10,3,3,1,0,0,0,8,5,15,14.89999962,14.89999962,"2015"
"23","Fultondale Police Department",10,6,5,4,1,1,0,1,3,9,14.89999962,14.89999962,"2015"
"24","Guntersville Police Department",10,5,4,0,1,0,1,0,2,11,14.89999962,14.89999962,"2015"
"25","Creola Police Department",1,5,5,4,0,0,0,4,1,4,1,1,"2015"
"26","Montgomery Municipal Jail",7,-9,-9,-9,-9,-9,-9,136,22,145,1.27884614,1.31702066,"2015"
"27","Coconino County Sheriffs Office",7,133,97,19,36,20,16,406,80,469,1.27884614,1.31702066,"2015"
"28","Maricopa County Sheriff's Office",1,2252,2033,556,219,141,78,6765,1163,7911,1,1.01503759,"2015"
"29","Mohave County Sheriff's Office",1,145,119,23,26,21,5,412,91,452,1,1,"2015"
"30","Navajo County Sheriffs Office",7,74,49,7,25,22,3,346,45,285,1.27884614,1.31702066,"2015"
"31","Pima County Sheriff's Department",1,548,405,89,143,90,53,1855,300,1838,1,1.01503759,"2015"
"32","Pinal County Adult Detention Center",1,184,143,22,41,39,2,1018,101,853,1,1.01503759,"2015"
"33","Yavapai County Sheriffs Office",7,132,106,17,26,24,2,500,112,494,1.27884614,1.31702066,"2015"
"34","Yuma County Sheriff's Office",1,177,131,25,46,32,14,432,78,535,1,1,"2015"
"35","Benton County Sheriffs Office",7,-9,-9,-9,-9,-9,-9,409,50,426,1.27884614,1.31702066,"2015"
"36","Crittenden County Sheriffs Office",7,0,0,0,0,0,0,217,33,271,1.27884614,1.31702066,"2015"
"37","Drew County Detention Facility",10,15,12,7,3,1,2,35,4,31,14.89999962,14.89999962,"2015"
"38","Sheridan Police Department",9,15,11,6,4,1,3,75,23,75,9,9.29508197,"2015"
"39","Scott County Detention Center",8,12,8,5,4,1,3,25,1,27,4.90361452,5.02620488,"2015"
"40","Sebastian County Sheriffs Office",7,82,60,15,22,17,5,413,81,421,1.27884614,1.31702066,"2015"
"41","Washington County Sheriffs Office",1,198,171,55,27,10,17,680,115,646,1,1,"2015"
"42","White County Sheriffs Office",7,-9,-9,-9,-9,-9,-9,258,50,245,1.27884614,1.31702066,"2015"
"43","Pulaski County Sheriffs Office",12,342,256,125,86,63,23,1063,162,1159,1,1.25,"2015"
"44","Alameda County Sheriffs Office",1,622,390,55,232,134,98,4101,222,2583,1,1.11111111,"2015"
"45","Amador County Sheriffs Office",1,26,25,11,1,1,0,86,17,87,1,1,"2015"
"46","Butte County Sheriffs Office",1,128,87,16,41,31,10,811,88,578,1,1,"2015"
"47","Calaveras County Sheriffs Office",1,30,23,7,7,5,2,88,18,94,1,1,"2015"
"48","Colusa County Sheriffs Office",1,15,13,5,2,1,1,89,12,78,1,1,"2015"
"49","Contra Costa County Sheriffs Office",1,184,111,16,73,36,37,1788,166,1392,1,1.11111111,"2015"
"50","Del Norte County Sheriffs Office",1,22,12,5,10,3,7,101,15,93,1,1,"2015"
"51","El Dorado County Sheriff's Office",1,118,100,22,18,14,4,482,65,384,1,1,"2015"
"52","Fresno County Sheriff Coroner's Office",1,455,420,109,35,21,14,2523,341,2661,1,1.11111111,"2015"
"53","Glenn County Sheriffs Office",1,19,16,8,3,2,1,93,18,95,1,1.125,"2015"
"54","Humboldt County Sheriffs Office",1,95,80,20,15,6,9,502,46,341,1,1,"2015"
"55","Imperial County Sheriff's Office",1,76,42,15,34,6,28,510,64,509,1,1,"2015"
"56","Inyo County Sheriffs Office",1,30,23,7,7,6,1,66,14,70,1,1,"2015"
"57","Kern County Sheriffs Office",1,384,323,80,61,41,20,3199,279,2321,1,1.11111111,"2015"
"58","Kings County Sheriffs Office",1,53,35,9,18,11,7,1057,81,505,1,1,"2015"
"59","Lake County Sheriff's Office",1,63,46,13,17,9,8,250,49,281,1,1,"2015"
"60","Lassen County Adult Detention Facility",1,39,31,11,8,6,2,116,23,120,1,1.125,"2015"
"61","Los Angeles County Sheriff's Department",1,3163,3163,861,0,0,0,16585,2196,17049,1,1.11111111,"2015"
"62","Madera County Department of Corrections",1,106,95,10,11,7,4,375,51,423,1,1,"2015"
